1	1	1	0	0
2	0	1	0	0
3	1	1	1	1
4	1	1	0	0
5	1	0	0	0
6	0	1	0	0
7	1	1	0	0
8	1	1	0	1
9	0	1	0	0
10	1	0	0	0
11	1	0	1	1
12	0	1	1	0
13	0	1	1	1
14	0	0	0	0
15	0	0	0	0
16	0	0	1	0
17	0	0	0	1
18	0	0	0	1
19	0	0	0	1
20	1	0	0	1
21	1	0	1	1
22	0	1	0	0
23	0	0	0	0
24	0	0	0	0
25	0	1	1	1
26	1	1	1	0
27	0	1	1	1
28	1	0	1	1
29	1	1	0	1
30	0	0	0	0
31	0	0	1	1
32	0	0	1	0
33	0	0	1	0
34	0	1	0	1
35	1	0	1	1
36	0	1	1	1
37	1	1	1	0
38	1	1	0	0
39	1	0	1	0
40	1	1	0	0
41	1	0	1	0
42	1	0	0	1
43	0	1	1	0
44	1	0	1	1
45	1	1	1	1
46	0	1	0	0
47	1	0	1	0
48	1	1	0	0
49	1	0	1	0
50	0	0	0	1
51	1	1	0	0
52	1	1	0	1
53	1	0	1	1
54	1	1	1	1
55	1	0	0	1
56	1	1	1	1
57	1	0	1	1
58	1	1	1	1
59	1	0	0	1
60	0	0	0	0
61	1	1	1	1
62	1	1	0	1
63	1	0	0	0
64	0	1	0	1
65	1	0	0	1
66	1	1	0	0
67	1	1	1	1
68	1	1	1	1
69	0	0	0	0
70	1	1	0	1
71	0	1	1	1
72	0	0	1	1
73	0	0	0	0
74	1	0	1	1
75	0	1	1	1
76	1	0	0	0
77	1	1	0	0
78	1	1	0	1
79	0	1	1	0
80	0	0	0	0
81	0	1	0	1
82	1	0	1	0
83	0	0	0	0
84	0	0	1	1
85	0	1	1	1
86	1	1	0	1
87	0	1	1	0
88	0	1	1	1
89	1	0	0	1
90	1	0	1	0
91	0	1	0	0
92	0	1	0	0
93	0	0	0	1
94	1	1	0	0
95	0	0	1	0
96	1	0	1	1
97	1	1	1	0
98	0	0	1	1
99	1	1	0	0
100	1	0	1	0
101	0	1	0	1
102	0	0	1	0
103	1	1	0	0
104	1	0	0	0
105	0	0	1	1
106	0	0	1	0
107	0	0	1	1
108	1	1	0	1
109	0	1	0	1
110	0	1	1	0
111	1	1	0	1
112	1	0	1	1
113	1	1	0	0
114	1	1	0	0
115	1	0	1	1
116	0	1	1	1
117	1	0	0	0
118	0	1	1	0
119	0	0	0	1
120	1	1	0	0
121	1	1	0	0
122	1	0	1	1
123	0	1	1	1
124	0	0	1	1
125	1	0	0	1
126	0	1	0	0
127	0	1	1	1
128	0	0	0	1
