1	1	0	1	1	1	0	0	1	0	1	0	1	0	0	1	0
2	0	0	1	0	1	1	1	0	0	0	0	1	0	1	0	1
3	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0
4	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	0
5	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1
6	0	1	1	0	1	1	1	0	0	0	0	1	0	0	1	0
7	1	1	0	1	1	0	1	1	0	1	1	0	0	0	1	0
8	1	1	0	1	1	1	0	0	0	0	1	0	1	0	1	0
9	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1
10	1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0
11	1	0	0	0	0	1	1	0	1	1	1	1	1	0	1	1
12	0	1	1	1	1	0	0	1	1	1	0	0	0	1	0	1
13	0	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1
14	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0
15	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	1
16	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1
17	0	1	0	1	0	0	1	1	0	1	0	0	1	0	1	0
18	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0
19	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1
20	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1
21	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	0
22	0	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0
23	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1
24	0	1	0	1	0	1	1	1	0	1	1	0	0	1	1	0
25	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
26	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1
27	0	1	0	0	1	0	1	1	1	0	0	1	1	1	0	1
28	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1
29	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1
30	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0
31	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1
32	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	1
