1	1	0
2	0	0
3	1	1
4	1	0
5	1	0
6	0	0
7	1	0
8	1	0
9	0	0
10	1	0
11	1	1
12	0	1
13	0	1
14	0	0
15	0	0
16	0	1
17	0	0
18	0	0
19	0	0
20	1	0
21	1	1
22	0	0
23	0	0
24	0	0
25	0	1
26	1	1
27	0	1
28	1	1
29	1	0
30	0	0
31	0	1
32	0	1
33	0	1
34	0	0
35	1	1
36	0	1
37	1	1
38	1	0
39	1	1
40	1	0
41	1	1
42	1	0
43	0	1
44	1	1
45	1	1
46	0	0
47	1	1
48	1	0
49	1	1
50	0	0
51	1	0
52	1	0
53	1	1
54	1	1
55	1	0
56	1	1
57	1	1
58	1	1
59	1	0
60	0	0
61	1	1
62	1	0
63	1	0
64	0	0
65	1	0
66	1	0
67	1	1
68	1	1
69	0	0
70	1	0
71	0	1
72	0	1
73	0	0
74	1	1
75	0	1
76	1	0
77	1	0
78	1	0
79	0	1
80	0	0
81	0	0
82	1	1
83	0	0
84	0	1
85	0	1
86	1	0
87	0	1
88	0	1
89	1	0
90	1	1
91	0	0
92	0	0
93	0	0
94	1	0
95	0	1
96	1	1
97	1	1
98	0	1
99	1	0
100	1	1
101	0	0
102	0	1
103	1	0
104	1	0
105	0	1
106	0	1
107	0	1
108	1	0
109	0	0
110	0	1
111	1	0
112	1	1
113	1	0
114	1	0
115	1	1
116	0	1
117	1	0
118	0	1
119	0	0
120	1	0
121	1	0
122	1	1
123	0	1
124	0	1
125	1	0
126	0	0
127	0	1
128	0	0
129	1	0
130	1	0
131	1	1
132	1	0
133	0	0
134	1	0
135	1	0
136	1	1
137	1	0
138	0	0
139	0	1
140	1	0
141	1	1
142	0	0
143	0	0
144	0	0
145	0	1
146	0	1
147	0	1
148	0	1
149	0	1
150	1	0
151	0	0
152	0	0
153	1	1
154	1	0
155	1	1
156	0	1
157	1	1
158	0	0
159	0	1
160	0	0
161	0	0
162	1	1
163	0	1
164	1	1
165	1	0
166	1	0
167	0	0
168	1	0
169	0	0
170	0	1
171	1	0
172	0	1
173	1	1
174	1	0
175	0	0
176	1	0
177	0	0
178	0	1
179	1	0
180	1	1
181	0	1
182	1	1
183	0	1
184	1	1
185	0	1
186	1	1
187	0	1
188	0	0
189	1	1
190	1	1
191	0	0
192	1	1
193	0	1
194	1	0
195	1	1
196	1	1
197	0	0
198	1	1
199	1	1
200	0	1
201	0	0
202	0	1
203	1	1
204	0	0
205	1	0
206	1	1
207	1	0
208	0	0
209	1	1
210	0	0
211	0	0
212	0	1
213	1	1
214	1	1
215	1	0
216	1	1
217	0	1
218	0	0
219	1	0
220	1	0
221	0	1
222	1	0
223	0	0
224	0	1
225	1	0
226	0	1
227	1	0
228	0	0
229	1	1
230	0	0
231	1	0
232	0	0
233	0	1
234	0	0
235	0	1
236	1	1
237	1	1
238	1	0
239	1	1
240	0	1
241	1	0
242	1	0
243	0	1
244	1	1
245	0	0
246	1	0
247	0	1
248	1	0
249	1	0
250	0	1
251	1	1
252	0	1
253	0	1
254	1	0
255	1	1
256	0	1
