1	1	1	1	0	0	0	0	1
2	0	1	1	1	0	0	0	0
3	1	1	1	1	1	1	1	1
4	1	1	1	1	0	1	0	1
5	1	0	0	0	0	0	0	0
6	0	1	1	1	0	0	0	1
7	1	0	1	1	0	1	0	1
8	1	0	1	0	0	1	1	1
9	0	0	1	0	0	0	0	0
10	1	1	0	0	0	1	0	1
11	1	0	0	1	1	1	1	1
12	0	1	1	0	1	0	0	0
13	0	1	1	1	1	0	1	0
14	0	1	0	1	0	0	0	1
15	0	0	0	1	0	1	0	0
16	0	0	0	0	1	0	0	0
17	0	0	0	1	0	0	1	1
18	0	1	0	0	0	1	1	0
19	0	0	0	0	0	0	1	0
20	1	0	0	0	0	1	1	1
21	1	0	0	1	1	1	1	1
22	0	1	1	1	0	0	0	1
23	0	0	0	1	0	1	0	0
24	0	0	0	1	0	1	0	1
25	0	1	1	0	1	0	1	1
26	1	1	1	0	1	1	0	0
27	0	0	1	1	1	0	1	0
28	1	0	0	1	1	0	1	0
29	1	0	1	0	0	0	1	1
30	0	1	0	1	0	0	0	0
31	0	0	0	0	1	1	1	0
32	0	1	0	0	1	1	0	1
33	0	1	0	1	1	1	0	0
34	0	0	1	0	0	1	1	1
35	1	1	0	1	1	0	1	0
36	0	1	1	0	1	1	1	0
37	1	0	1	1	1	0	0	1
38	1	0	1	0	0	1	0	0
39	1	1	0	1	1	0	0	0
40	1	1	1	0	0	0	0	0
41	1	0	0	0	1	1	0	1
42	1	0	0	0	0	1	1	0
43	0	0	1	0	1	1	0	1
44	1	1	0	1	1	0	1	1
45	1	0	1	1	1	0	1	1
46	0	0	1	1	0	1	0	0
47	1	1	0	1	1	0	0	1
48	1	1	1	0	0	1	0	1
49	1	1	0	1	1	0	0	0
50	0	1	0	1	0	0	1	0
51	1	1	1	0	0	1	0	1
52	1	0	1	1	0	1	1	1
53	1	1	0	0	1	0	1	0
54	1	0	1	1	1	1	1	0
55	1	0	0	0	0	0	1	1
56	1	1	1	1	1	0	1	0
57	1	1	0	1	1	0	1	0
58	1	1	1	0	1	1	1	1
59	1	0	0	1	0	1	1	1
60	0	0	0	0	0	1	0	1
61	1	1	1	0	1	0	1	1
62	1	0	1	1	0	0	1	0
63	1	0	0	1	0	1	0	1
64	0	0	1	0	0	0	1	1
